,urls
88,"http://wyborcza.pl/7,154903,22983159,puchar-davisa-przerwana-zla-passa-i-cenne-wyjazdowe-zwyciestwo.html"
89,"http://wyborcza.pl/7,75398,22983192,ustawa-o-ipn-pis-kontratakuje.html"
90,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,22982949,ranne-ryby-na-helskiej-plazy.html"
91,"http://wyborcza.pl/7,75399,22982675,putin-i-siedem-gwiazd-drugiego-planu.html"
92,"http://wyborcza.pl/7,75248,22983043,usa-katastrofa-kolejowa-w-poludniowej-karolinie.html"
93,"http://wyborcza.pl/7,75398,22983142,katastrofa-smolenska-byly-wybuchy-to-najnowsza-hipoteza.html"
94,"http://krakow.wyborcza.pl/krakow/7,44425,22982506,nastolatkowie-z-bronia-w-biedronce-wczesniej-postrzelili-kobiete.html"
95,"http://warszawa.wyborcza.pl/warszawa/7,54420,22982600,lotnisko-w-modlinie-ryanair-bedzie-latal-do-stolicy-jordanii.html"
96,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22979416,matka-bedzie-musiala-odeslac-dzieci-do-irlandii-do-meza-brutala.html"
97,"http://wyborcza.pl/7,75399,22982459,w-pradze-coraz-czesciej-slychac-slowo-czexit.html"
98,"http://krakow.wyborcza.pl/krakow/7,44425,22982317,gowin-w-katakumbach-u-cystersow-czekamy-na-kandydatke-na-prezydenta.html"
99,"http://warszawa.wyborcza.pl/warszawa/7,54420,22982449,ustawa-o-ipn-pikietowali-przed-palacem-prezydenckim-protestujemy.html"
100,"http://wyborcza.pl/7,75399,22982220,uma-thurman-tez-oskarza-harveya-weinsteina-o-molestowanie-akcja.html"
101,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22981760,przewodniczacy-gminy-zydowskiej-we-wroclawiu-wracaja-potwory.html"
102,"http://wyborcza.pl/7,75399,22981933,amerykanska-ekspertka-bylam-pod-wrazeniem-postawy-polakow-wobec.html"
103,"http://gorzow.wyborcza.pl/gorzow/7,36844,22981702,624-tys-zl-z-balu-charytatywnego-w-gorzowie-dla-tomasza-golloba.html"
104,"http://radom.wyborcza.pl/radom/7,48201,22982717,przedszkola-maja-pracowac-rowniez-w-wakacje-ale-juz-wiadomo.html"
105,"http://bialystok.wyborcza.pl/bialystok/7,35241,22981739,slowa-z-repertuaru-szowinistow-mniejszosci-boja-sie-fali-agresji.html"
106,"http://czestochowa.wyborcza.pl/czestochowa/7,150461,22976674,jasna-gora-gosci-nacjonalistow-i-kiboli-na-wlasnych-piersiach.html"
107,"http://wyborcza.pl/7,154903,22981671,puchar-swiata-w-willingen.html"
108,"http://wyborcza.pl/7,75398,22981682,wojciech-pokora-nie-zyje-aktor-mial-83-lata.html"
109,"http://bydgoszcz.wyborcza.pl/bydgoszcz/7,48722,22979158,dekomunizacja-ulic-mialo-byc-bez-kosztow-a-jednak-slono-zaplacimy.html"
110,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22981445,zebrali-ponad-700-tys-zl-na-leczenie-chorego-olka-w-kilka-dni.html"
111,"http://warszawa.wyborcza.pl/warszawa/7,54420,22971574,za-cztery-odcinki-masz-wiecej-niz-srednia-krajowa-a-bywa-ze.html"
112,"http://rzeszow.wyborcza.pl/rzeszow/7,34962,22965484,zrobmy-festiwal-zydowski-w-rzeszowie-najlepsze-upamietnienie.html"
113,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,22974775,co-z-kod-em-pusz-to-koniec-szumelda-mamy-przyszlosc.html"
114,"http://wyborcza.pl/7,155290,22928789,co-ma-wielblad-do-ustawy-rodzina-500-plus.html"
115,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,22973851,w-10-miesiecy-dookola-swiata-rejs-niepodleglosci-w-100-rocznice.html"
116,"http://wyborcza.pl/7,75400,22968235,chcesz-schudnac-wstan-i-postoj-przez-kilka-godzin.html"
117,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,22976313,trudne-porozumienia-wyborcze-w-gdansku-na-lewicy-prawicy-i.html"
118,"http://wyborcza.pl/7,75399,22979556,szef-niemieckiej-dyplomacji-obozy-byly-niemieckie-nie-ma-watpliwosci.html"
119,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22977368,zbiorka-pieniedzy-na-operacje-16-letniego-kuby-biegacz-oddaje.html"
120,"http://lublin.wyborcza.pl/lublin/7,48724,22979508,tvp-lublin-zdjela-dyskusje-o-ustawie-o-ipn-powod-poslance.html"
121,"http://wyborcza.pl/7,75400,22979326,odkrycie-w-gwatemali-przyprawia-o-zawrot-glowy-majowie-byli.html"
122,"http://rzeszow.wyborcza.pl/rzeszow/7,34962,22971279,chlopaki-z-wiseglass-stworzyli-inteligentne-lustro-ono-czyta.html"
123,"http://wyborcza.pl/7,75399,22979111,rosyjski-mysliwiec-zestrzelony-w-syrii-przez-rebeliantow-pojmali.html"
124,"http://wyborcza.pl/7,75398,22978962,po-chce-przesluchania-jakuba-r-mariusza-kaminskiego-i-macieja.html"
125,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22975348,kwitnie-branza-nowoczesnych-uslug-dla-biznesu-jakie-sa-zarobki.html"
126,"http://kielce.wyborcza.pl/kielce/7,47262,22977365,specjalna-grupa-mon-i-zandarmeria-wojskowa-sprawdzaja-tajemnicze.html"
127,"http://krakow.wyborcza.pl/krakow/7,44425,22978138,dziennikarz-rmf-napisal-polacy-jestesmy-na-wojnie-z-zydami.html"
128,"http://wyborcza.pl/7,75399,22978120,strzaly-we-wloskim-miescie-macerata-cztery-osoby-ranne.html"
129,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22977643,prezydencki-falstart-w-nowoczesnej-jaros-juz-nie-jest-tak-pewien.html"
130,"http://bialystok.wyborcza.pl/bialystok/7,35241,22977404,nie-uwazam-sie-za-czlowieka-szyszko-weterynarz-dyrektorem-bialowieskiego.html"
131,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,22977306,smiertelnie-potracil-kobiete-i-uciekl-tragedia-w-powiecie-kartuskim.html"
132,"http://kielce.wyborcza.pl/kielce/7,47262,22977357,zabojstwo-w-bloku-przy-ul-piekoszowskiej-nie-zyje-45-latek.html"
133,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22976333,prodziekan-uniwersytetu-medycznego-tez-przeprasza-studentow.html"
134,"http://rzeszow.wyborcza.pl/rzeszow/7,34962,22974406,czy-blogerzy-i-youtuberzy-moga-liczyc-na-darmowy-nocleg-i-obiad.html"
135,"http://krakow.wyborcza.pl/krakow/7,44425,22976628,jak-zwolniono-sedziego-zurka-kulisy-odwolania-rzecznika.html"
136,"http://warszawa.wyborcza.pl/warszawa/7,54420,22976573,dekomunizacja-ulic-pis-spieszy-sie-z-wymiana-tablic-znamy.html"
137,"http://wyborcza.pl/7,75398,22977251,jaroslaw-kaczynski-o-ustawie-o-ipn-andrzej-duda-powinien-ja.html"
138,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,22975342,odwolanie-rektora-amw-w-gdyni-wstrzymane-przez-blaszczaka-trwa.html"
139,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,22976666,pawel-kasprzak-trzeba-sie-przeciwstawic-brunatniejacej-polsce.html"
140,"http://wyborcza.pl/7,75399,22974428,isis-to-bestie-ale-to-asad-byl-pierwsza-kostka-syryjskiego.html"
141,"http://wyborcza.pl/7,155287,22961265,bedzie-wiecej-dzieci-prof-kotowska-to-zalezy-od-mezczyzn.html"
142,"http://wyborcza.pl/7,75398,22976461,jakub-r-oskarza-sluzby-pis.html"
