Unnamed: 0,Unnamed: 0.1,article_id,author,content,date,division,highlight,is_new,last_date,lead,media_desc,media_src,media_type,title,url
,,24823093,an,,2019-05-24 14:15:00,,,True,2019-05-28 15:34:50.464776,"""Cieszę się, że ten cud, którego bohaterką jest pani Klaudia, miał miejsce w Krakowie"" - napisał prezydent Krakowa Jacek Majchrowski w liście do rodziców sześcioraczków z Tylmanowej, państwa Marców. Miasto wynajęło im mieszkanie w Krakowie, aby na...",,,,Kraków sfinansuje wynajem mieszkania dla rodziców sześcioraczków,"http://krakow.wyborcza.pl/krakow/7,44425,24823093,krakow-sfinansuje-wynajem-mieszkania-dla-rodzicow-szescioraczkow.html"
,,24823326,Marcin Czyżewski,,2019-05-24 15:00:00,,,True,2019-05-28 15:34:50.464776,"Ministerstwo Gospodarki Morskiej i Żeglugi Śródlądowej poinformowało w piątek, że złoży zawiadomienie do prokuratury w sprawie możliwości popełnienia przestępstwa przy budowie zbiornika przeciwpowodziowego w Wilkowicach.",,,,Pompowanie wody z zapory zakończone. Ministerstwo zgłasza sprawę do prokuratury,"http://bielskobiala.wyborcza.pl/bielskobiala/7,88025,24823326,pompowanie-wody-z-zapory-zakonczone-ministerstwo-zglasza-sprawe.html"
,,24823288,Marta Urzędowska,,2019-05-24 14:59:00,,,True,2019-05-28 15:34:50.464776,"Szpiegował, namawiał do kradzieży tajnych dokumentów, publikował je, narażając ludzkie życie - Amerykanie postawili twórcy Wikileaks nowe, bardzo poważne zarzuty",,,,USA: Assange to szpieg i spiskowiec. Będzie ekstradycja z Wielkiej Brytanii?,"http://wyborcza.pl/7,75399,24823288,usa-assange-to-szpieg-i-spiskowiec-bedzie-ekstradycja-z-wielkiej.html"
,,24822531,Adriana Rozwadowska,,2019-05-24 14:35:00,,,True,2019-05-28 15:34:50.464776,"Akcje #UEWolnaOdUbóstwa i #WspieramOsobyBezdomne trwają w całej Europie. Polscy kandydaci do PE niemal całkowicie zignorowali prośbę czołowych polskich organizacji walczących z ubóstwem, bezdomnością i wykluczeniem.",,,,Kandydaci do PE zignorowali bezdomnych i wykluczonych,"http://wyborcza.pl/7,155287,24822531,kandydaci-do-pe-zignorowali-bezdomnych-i-wykluczonych.html"
,,24822112,tc,,2019-05-24 11:57:00,,,True,2019-05-28 15:34:50.464776,"Dwa i pół roku spędzi w więzieniu Krzysztof G., były policjant z Brodnicy. Sąd nieprawomocnie skazał go za seksualne ""nadużycie stosunku zależności"".",,,,Więzienie dla byłego policjanta za seks na komendzie,"http://torun.wyborcza.pl/torun/7,48723,24822112,wiezienie-dla-bylego-policjanta-za-seks-na-komendzie.html"
,,24823113,Olo,,2019-05-24 14:19:00,,,True,2019-05-28 15:34:50.464776,"Film z YouTuberem-kajakarzem, który płynie Wisłą w czasie powodzi w Krakowie, pojawił się w czwartek w serwisie YouTube. Widać na nim moment, kiedy woda wciąga go pod platformę, po chwili z brzegu bulwaru wbiegają na nią koledzy kajakarza i...",,,,"YouTuber płynął kajakiem podczas powodzi w Krakowie, wpadł do wody. Tłumaczy: Była to głupia obietnica","http://krakow.wyborcza.pl/krakow/7,44425,24823113,plynal-kajakiem-podczas-powodzi-woda-wciagnela-go-pod-platforme.html"
,,24823442,Amanda Grzmiel,,2019-05-24 15:39:00,,,True,2019-05-28 15:34:50.464776,"Strażacy intensywnie pracowali w czwartek w Makowie i w kilku innych miejscowościach w gminie Skaryszew, gdzie woda zalała kilka budynków mieszkalnych i gospodarczych. Jak uspokaja rzecznik Starostwa Powiatowego, nie ma zagrożenia powodzią. Na...",,,,Jak wygląda powiat radomski po burzach i trąbach powietrznych? Caritas prosi o wpłaty na rzecz poszkodowanych,"http://radom.wyborcza.pl/radom/7,48201,24823442,jak-wyglada-sytuacja-po-burzach-i-trabach-powietrznych-w-powiecie.html"
,,24823355,an,,2019-05-24 15:10:00,,,True,2019-05-28 15:34:50.464776,Od poniedziałku w Krakowie trwają juwenalia - coroczne święto studentów. W piątek przez miasto przeszedł barwny korowód. Studenci odebrali z rąk władz Krakowa symboliczne klucze do bram miasta. I symbolicznie przejęli nad nim władzę na nadchodzący...,,,,Juwenalia 2019. Studenci z kluczami do bram Krakowa. To miasto należy do nas,"http://krakow.wyborcza.pl/krakow/7,44425,24823355,juwenalia-2019-studenci-z-kluczami-do-bram-krakowa-to-miasto.html"
,,24823598,Maria Kruczkowska,,2019-05-24 15:48:00,,,True,2019-05-28 15:34:50.464776,"Spór Stanów Zjednoczonych z Chinami o chińskiego giganta telekomunikacji może zostać załatwiony ""w ramach porozumienia handlowego"".",,,,"Donald Trump gotów się dogadać z Pekinem w sprawie Huawei. Nie wykluczam, że będzie częścią porozumienia","http://wyborcza.pl/7,75399,24823598,donald-trump-gotow-dogadac-sie-z-pekinem-w-sprawie-huaweia.html"
,,24823351,Michał Wojtczuk,,2019-05-24 15:10:00,,,True,2019-05-28 15:34:50.464776,"Byliśmy obaj - Grzegorz Schetyna i ja - ministrami administracji, wiemy, jak trudno jest bronić miasta przed powodzią. Zorganizujemy z prezydentami miast akcję solidarnościową. Ja złożę wniosek do Rady Warszawy, żeby pomoc mogła być przydzielona -...",,,,Na ostatniej prostej kampanii Trzaskowski i Schetyna obiecują pomoc samorządów na terenach powodziowych,"http://warszawa.wyborcza.pl/warszawa/7,54420,24823351,na-ostatniej-prostej-kampanii-trzaskowski-i-schetyna-obiecuja.html"
