,urls
147,"http://warszawa.wyborcza.pl/warszawa/7,54420,24643707,utrudnienia-w-warszawie-w-niedziele-maraton.html"
148,"http://wyborcza.pl/7,75400,24654130,z-pacjentki-wyjeli-cztery-pszczoly-kto-moze-zamieszkac-w-twoim.html"
149,"http://szczecin.wyborcza.pl/szczecin/7,34939,24653460,te-rzezbe-obronili-szczecinianie-a-teraz-pis-chce-w-jej-miejscu.html"
150,"http://kielce.wyborcza.pl/kielce/7,115198,24641740,rodza-naturalnie-po-cesarskim-cieciu-to-recepta-na-blizne.html"
151,"http://wyborcza.pl/7,75398,24653125,kaczynski-udzielil-wywiadu-tvp-info-o-strajk-nauczycieli-ani.html"
152,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24645350,marszalek-gasi-protest-s-w-kulturze-znalazl-pieniadze-na.html"
153,"http://warszawa.wyborcza.pl/warszawa/7,54420,24648189,strajk-nauczycieli-i-mniejszy-ruch-w-warszawie-w-al-ken-na.html"
154,"http://bydgoszcz.wyborcza.pl/bydgoszcz/7,48722,24650010,prezydent-bydgoszczy-do-biereckiego-czy-jestem-godnym-nalezec.html"
155,"http://wyborcza.pl/7,75398,24652363,konwencja-wiosny-biedron-panie-prezesie-dedykuje-panu-do.html"
156,"http://wyborcza.pl/7,154903,24651617,iga-swiatek-w-finale-w-lugano-w-niedziele-zagra-o-pierwszy.html"
157,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24651404,dulkiewicz-adamowicz-staron-ludzie-nauki-i-kultury-czytali.html"
158,"http://poznan.wyborcza.pl/poznan/7,36001,24651540,profesor-z-poznania-znalazl-zastosowanie-dla-lapowki-kaczynskiego.html"
159,"http://czestochowa.wyborcza.pl/czestochowa/7,48725,24651463,bp-przybylski-na-jasnej-gorze-prosil-by-nauczyciel-nie-stawal.html"
160,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24651369,ksiadz-podczas-mszy-nauczyciele-sa-swolocza-ktora-trzeba.html"
161,"http://rzeszow.wyborcza.pl/rzeszow/7,34962,24651367,wybory-do-europarlamentu-2019-konwencja-koalicji-europejskiej.html"
162,"http://olsztyn.wyborcza.pl/olsztyn/7,48726,24649689,kolejni-nauczyciele-odchodza-z-solidarnosci.html"
163,"http://wroclaw.wyborcza.pl/wroclaw/7,35771,24648753,pisarka-olga-tokarczuk-zostanie-honorowym-obywatelem-wroclawia.html"
164,"http://wyborcza.pl/7,75399,24651332,agencja-s-p-utrzymuje-rating-polski-ale-dodaje-ze-deficyt.html"
165,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24633356,memling-w-kosciele-czy-w-muzeum-wraca-dyskusja-na-temat-najslynniejszego.html"
166,"http://trojmiasto.wyborcza.pl/trojmiasto/7,35612,24645204,obchody-4-czerwca-wladze-gdanska-prosza-rzecznika-praw-obywatelskich.html"
167,"http://wyborcza.pl/7,75400,24639410,pierwsze-zdjecie-czarnej-dziury-czy-dzielo-einsteina-zastapi.html"
168,"http://wyborcza.pl/7,154903,24647675,ferrari-i-mercedes-walcza-o-0-001-sekundy.html"
